************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
*      144 *       144 *         0 * 9.8354539 *
*      145 *       145 * 5.9601064 *         0 *
*      146 *       146 * 0.7859204 *         0 *
*      147 *       147 * 9.4800537 *         0 *
*      148 *       148 * 6.7600947 *         0 *
*      149 *       149 * 0.4050599 *         0 *
*      150 *       150 *         0 * 5.5601123 *
*      151 *       151 * 9.7837314 *         0 *
*      152 *       152 *         0 * 8.2600722 *
*      153 *       153 *         0 * 3.4702787 *
*      154 *       154 * 1.6751920 * 1.1832353 *
*      155 *       155 * 1.8592759 * 5.2408133 *
*      156 *       156 * 3.3301457 *         0 *
*      157 *       157 *         0 *         0 *
*      158 *       158 *         0 *         0 *
*      159 *       159 * 8.5447077 * 3.1653127 *
*      160 *       160 * 6.5700971 *         0 *
*      161 *       161 * 9.3833440 *         0 *
*      162 *       162 * 8.3600703 *         0 *
*      163 *       163 * 0.9393342 *         0 *
*      164 *       164 * 8.6100673 *         0 *
*      165 *       165 *         0 * 4.9401215 *
*      166 *       166 * 10.501485 *         0 *
*      167 *       167 * 6.8982824 *         0 *
*      168 *       168 * 2.1832267 *         0 *
*      169 *       169 * 9.2030641 *         0 *
*      170 *       170 *         0 * 9.0990114 *
*      171 *       171 * 8.2664063 *         0 *
*      172 *       172 * 6.6500961 *         0 *
*      173 *       173 *         0 *         0 *
*      174 *       174 *         0 * 4.6119438 *
*      175 *       175 *         0 *         0 *
*      176 *       176 *         0 *         0 *
*      177 *       177 *         0 * 7.9500766 *
*      178 *       178 * 9.8872914 *         0 *
*      179 *       179 * 9.4600546 *         0 *
*      180 *       180 * 8.3100712 *         0 *
*      181 *       181 * 3.0429053 * 4.8671722 *
*      182 *       182 * 1.1001789 *         0 *
*      183 *       183 * 3.7401396 *         0 *
*      184 *       184 * 8.3400712 *         0 *
*      185 *       185 * 2.8863418 * 2.5237729 *
*      186 *       186 *  10.42004 *         0 *
*      187 *       187 * 3.8427513 *         0 *
*      188 *       188 *         0 * 8.5700673 *
*      189 *       189 *         0 *         0 *
*      190 *       190 * 3.3001462 *         0 *
*      191 *       191 *         0 * 8.1318562 *
*      192 *       192 * 3.0278582 *         0 *
*      193 *       193 * 6.0539439 *         0 *
*      194 *       194 * 5.8089760 *         0 *
*      195 *       195 *         0 * 3.5001430 *
*      196 *       196 * 0.6440854 * 4.4760336 *
*      197 *       197 * 3.2603543 * 0.9883158 *
*      198 *       198 * 4.7501245 *         0 *
*      199 *       199 * 3.9101369 *         0 *
*      200 *       200 * 7.5713977 * 1.8345647 *
*      201 *       201 *         0 * 7.8900776 *
*      202 *       202 * 8.4700693 *         0 *
*      203 *       203 *         0 *         0 *
*      204 *       204 * 0.3962937 *         0 *
