************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
************************************************
*        0 *         0 *         0 * 3.6901403 *
*        1 *         1 *         0 * 7.1300888 *
*        2 *         2 * 8.2255251 *         0 *
*        3 *         3 *         0 *         0 *
*        4 *         4 * 9.4348570 * 0.3173540 *
*        5 *         5 * 9.4521298 *         0 *
*        6 *         6 *         0 * 8.7600644 *
*        7 *         7 * 9.8620662 *         0 *
*        8 *         8 * 4.9913844 *         0 *
*        9 *         9 * 2.8301530 *         0 *
*       10 *        10 *  6.833443 * 1.2980279 *
*       11 *        11 * 0.3410380 *         0 *
*       12 *        12 * 12.160013 *         0 *
*       13 *        13 *         0 * 9.8200488 *
*       14 *        14 * 5.0501201 *         0 *
*       15 *        15 *         0 *         0 *
*       16 *        16 * 2.2201623 *         0 *
*       17 *        17 * 4.4201293 *         0 *
*       18 *        18 * 1.6366213 * 7.1034441 *
*       19 *        19 * 3.0831389 * 2.7569694 *
*       20 *        20 *         0 * 5.6209679 *
*       21 *        21 * 3.5301428 *         0 *
*       22 *        22 *         0 *         0 *
*       23 *        23 *         0 * 6.8200937 *
*       24 *        24 * 8.9700615 *         0 *
*       25 *        25 *         0 * 4.8045024 *
*       26 *        26 * 6.9688720 *         0 *
*       27 *        27 * 10.062439 *         0 *
*       28 *        28 * 8.9949430 *         0 *
*       29 *        29 *         0 *         0 *
*       30 *        30 * 4.0801345 *         0 *
*       31 *        31 *         0 * 4.1601333 *
*       32 *        32 *         0 * 4.4201293 *
*       33 *        33 *  6.120104 *         0 *
*       34 *        34 * 5.3601152 *         0 *
*       35 *        35 * 3.8349549 *         0 *
*       36 *        36 * 3.0101503 *         0 *
*       37 *        37 *         0 * 4.3192625 *
*       38 *        38 * 7.5797200 *         0 *
*       39 *        39 *         0 *         0 *
*       40 *        40 *         0 * 5.5501127 *
*       41 *        41 * 8.8600634 *         0 *
*       42 *        42 * 3.3384837 * 0.5316539 *
*       43 *        43 * 5.0101206 *         0 *
*       44 *        44 *         0 * 3.9001372 *
*       45 *        45 *         0 * 6.1901030 *
*       46 *        46 * 2.7001550 *         0 *
*       47 *        47 *         0 * 0.0536209 *
*       48 *        48 * 9.3919406 *         0 *
*       49 *        49 *         0 * 5.0641683 *
*       50 *        50 * 0.4303957 *         0 *
*       51 *        51 * 3.9001372 *         0 *
*       52 *        52 * 5.8692033 * 2.9937977 *
*       53 *        53 * 8.5233334 *         0 *
*       54 *        54 * 7.7200800 *         0 *
*       55 *        55 *         0 * 7.6900805 *
*       56 *        56 * 5.8401084 *         0 *
*       57 *        57 *         0 *         0 *
*       58 *        58 * 5.9256187 *         0 *
*       59 *        59 * 11.240027 *         0 *
*       60 *        60 * 3.1548001 * 3.3652980 *
*       61 *        61 * 3.3801450 *         0 *
*       62 *        62 * 5.0901196 *         0 *
*       63 *        63 * 5.3801152 *         0 *
*       64 *        64 *         0 * 10.780034 *
*       65 *        65 * 1.6301710 *         0 *
*       66 *        66 * 0.9026387 *         0 *
*       67 *        67 * 5.4701137 *         0 *
*       68 *        68 * 4.0785048 * 0.6016206 *
*       69 *        69 * 4.0401350 *         0 *
*       70 *        70 *         0 * 11.740020 *
*       71 *        71 * 7.6800810 *         0 *
*       72 *        72 *         0 *         0 *
*       73 *        73 * 8.1500737 *         0 *
*       74 *        74 * 0.8301829 *         0 *
*       75 *        75 * 6.1001044 *         0 *
*       76 *        76 * 6.2285337 *         0 *
*       77 *        77 * 2.4801584 *         0 *
*       78 *        78 *         0 *         0 *
*       79 *        79 * 6.1291362 *         0 *
*       80 *        80 * 2.6337251 * 1.6664061 *
*       81 *        81 *         0 * 11.720020 *
*       82 *        82 *         0 *         0 *
*       83 *        83 *         0 * 6.4200996 *
*       84 *        84 * 6.3801001 *         0 *
*       85 *        85 * 10.960032 *         0 *
*       86 *        86 * 1.7701689 *         0 *
*       87 *        87 *         0 * 3.4501967 *
*       88 *        88 * 6.4328945 *         0 *
*       89 *        89 * 5.4601137 *         0 *
*       90 *        90 * 10.680036 *         0 *
*       91 *        91 * 5.9401069 *         0 *
*       92 *        92 *         0 * 5.4201147 *
*       93 *        93 *         0 *         0 *
*       94 *        94 * 4.8742273 *         0 *
*       95 *        95 *         0 *         0 *
*       96 *        96 * 3.1501484 *         0 *
*       97 *        97 * 10.690036 *         0 *
*       98 *        98 * 3.8401381 *         0 *
*       99 *        99 * 1.9547643 *         0 *
*      100 *       100 * 9.4500546 *         0 *
*      101 *       101 * 1.1201785 *         0 *
*      102 *       102 * 5.9701064 *         0 *
*      103 *       103 * 8.1510047 *         0 *
*      104 *       104 * 5.3101162 *         0 *
*      105 *       105 * 10.388454 *         0 *
*      106 *       106 *         0 * 6.5448491 *
*      107 *       107 *         0 *         0 *
*      108 *       108 *         0 * 8.1569129 *
*      109 *       109 * 0.1331739 * 5.8669320 *
*      110 *       110 *         0 *         0 *
*      111 *       111 * 5.9701064 *         0 *
*      112 *       112 *         0 *         0 *
*      113 *       113 *         0 * 3.6201413 *
*      114 *       114 * 5.5701123 *         0 *
*      115 *       115 * 6.5200981 *         0 *
*      116 *       116 *  4.666475 * 2.8336085 *
*      117 *       117 * 6.3601005 *         0 *
*      118 *       118 *         0 *         0 *
*      119 *       119 *         0 *         0 *
*      120 *       120 * 2.8153397 * 4.2347505 *
*      121 *       121 * 4.7405712 *         0 *
*      122 *       122 * 2.6542443 *         0 *
*      123 *       123 *         0 * 7.7700795 *
*      124 *       124 * 10.220267 * 0.0281069 *
*      125 *       125 * 1.6658278 *         0 *
*      126 *       126 * 8.6772483 *         0 *
*      127 *       127 *         0 *         0 *
*      128 *       128 * 6.2919760 *         0 *
*      129 *       129 *         0 * 5.2401171 *
*      130 *       130 *         0 * 8.0638133 *
*      131 *       131 * 2.3501604 *         0 *
*      132 *       132 * 2.5101579 *         0 *
*      133 *       133 * 6.4700986 *         0 *
*      134 *       134 * 8.6800654 *         0 *
*      135 *       135 * 4.0901342 *         0 *
*      136 *       136 * 2.9956822 * 2.6644286 *
*      137 *       137 * 2.9901508 *         0 *
*      138 *       138 *         0 * 7.7800791 *
*      139 *       139 *         0 *         0 *
*      140 *       140 *         0 *         0 *
*      141 *       141 * 2.3601601 *         0 *
*      142 *       142 *         0 *         0 *
*      143 *       143 * 7.3800854 *         0 *
*      144 *       144 *         0 * 5.8901074 *
*      145 *       145 * 1.1798316 * 4.9702718 *
*      146 *       146 * 8.6062991 *         0 *
*      147 *       147 * 4.8055328 * 5.8245042 *
*      148 *       148 * 4.8901225 *         0 *
*      149 *       149 * 6.7556566 *         0 *
*      150 *       150 * 4.7401653 * 2.8399172 *
*      151 *       151 * 4.5101279 *         0 *
*      152 *       152 *         0 * 8.9447498 *
*      153 *       153 *         0 * 8.8957749 *
*      154 *       154 * 7.3908774 *         0 *
*      155 *       155 * 3.2478811 * 3.7016460 *
*      156 *       156 * 9.8915593 *         0 *
*      157 *       157 *         0 * 5.7801093 *
*      158 *       158 *         0 *         0 *
*      159 *       159 * 9.5510765 *         0 *
*      160 *       160 * 4.1801328 *         0 *
*      161 *       161 * 4.4901284 *         0 *
*      162 *       162 * 6.7000952 *         0 *
*      163 *       163 * 4.1801328 *         0 *
*      164 *       164 * 6.5396156 *         0 *
*      165 *       165 *         0 * 4.6201264 *
*      166 *       166 * 4.9367620 * 1.0133443 *
*      167 *       167 * 6.0901044 *         0 *
*      168 *       168 * 11.690021 *         0 *
*      169 *       169 * 11.980016 *         0 *
*      170 *       170 *         0 * 5.7295354 *
*      171 *       171 * 5.1801181 *         0 *
*      172 *       172 * 6.5745084 * 2.1618653 *
*      173 *       173 *         0 * 4.8982683 *
*      174 *       174 *         0 *         0 *
*      175 *       175 *         0 *         0 *
*      176 *       176 * 2.2702843 * 0.9937246 *
*      177 *       177 *         0 *         0 *
*      178 *       178 * 2.0897767 *         0 *
*      179 *       179 * 4.4265856 *         0 *
*      180 *       180 * 7.2294559 *         0 *
*      181 *       181 *         0 *         0 *
*      182 *       182 * 7.3900849 *         0 *
*      183 *       183 * 7.9826928 *         0 *
*      184 *       184 * 5.7701093 *         0 *
*      185 *       185 * 5.2801167 *         0 *
*      186 *       186 * 2.6901552 *         0 *
*      187 *       187 * 0.0106490 *         0 *
*      188 *       188 *         0 * 6.1901030 *
*      189 *       189 *         0 *         0 *
*      190 *       190 * 8.4995436 *         0 *
*      191 *       191 *         0 * 5.1425230 *
*      192 *       192 * 4.7965702 *         0 *
*      193 *       193 * 9.3300566 *         0 *
*      194 *       194 * 6.8500932 *         0 *
*      195 *       195 *         0 * 7.9000776 *
*      196 *       196 *         0 *         0 *
*      197 *       197 * 3.1201489 *         0 *
*      198 *       198 * 5.8201084 *         0 *
*      199 *       199 * 5.6008766 *         0 *
*      200 *       200 * 7.0400903 *         0 *
*      201 *       201 *         0 * 8.4549991 *
*      202 *       202 * 10.329991 *         0 *
*      203 *       203 *         0 * 4.8501230 *
*      204 *       204 * 7.9125109 * 0.6061696 *
*      205 *       205 * 11.726447 *         0 *
*      206 *       206 * 1.1501782 *         0 *
*      207 *       207 * 9.1526489 *         0 *
*      208 *       208 * 9.7200507 *         0 *
*      209 *       209 *         0 *         0 *
*      210 *       210 * 0.0260465 * 2.5556353 *
*      211 *       211 *         0 *         0 *
*      212 *       212 * 8.3900703 *         0 *
*      213 *       213 * 1.1596594 * 5.7132893 *
*      214 *       214 *         0 *         0 *
*      215 *       215 * 0.6042604 *         0 *
*      216 *       216 * 1.1948613 * 5.0352412 *
