************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
************************************************
*        0 *         0 *         0 * 0.1653638 *
*        1 *         1 *         0 * 8.3174352 *
*        2 *         2 * 5.5755455 * 0.6245574 *
*        3 *         3 *         0 * 5.4301142 *
*        4 *         4 * 11.539230 *         0 *
*        5 *         5 * 5.1201191 *         0 *
*        6 *         6 *         0 * 8.0561990 *
*        7 *         7 * 9.6281956 *         0 *
*        8 *         8 * 7.2875504 *         0 *
*        9 *         9 * 2.5001579 *         0 *
*       10 *        10 * 5.9410440 * 1.0990463 *
*       11 *        11 * 2.3101608 *         0 *
*       12 *        12 * 5.2801167 *         0 *
*       13 *        13 *         0 *         0 *
*       14 *        14 * 7.2300874 *         0 *
*       15 *        15 *         0 * 4.8599347 *
*       16 *        16 * 8.8100644 *         0 *
*       17 *        17 * 4.0301352 *         0 *
*       18 *        18 * 0.7619966 * 4.4681205 *
*       19 *        19 * 8.6161453 *         0 *
*       20 *        20 *         0 *         0 *
*       21 *        21 * 0.4004334 *         0 *
*       22 *        22 * 0.6819729 * 6.9744968 *
*       23 *        23 *         0 * 6.5700971 *
*       24 *        24 * 4.0002168 *         0 *
*       25 *        25 *         0 *         0 *
*       26 *        26 * 9.4500546 *         0 *
*       27 *        27 * 5.0501201 *         0 *
*       28 *        28 * 6.0578503 *         0 *
*       29 *        29 *         0 *         0 *
*       30 *        30 * 11.300026 *         0 *
*       31 *        31 *         0 * 6.4500991 *
*       32 *        32 *         0 *         0 *
*       33 *        33 * 4.7461996 *         0 *
*       34 *        34 * 7.0140008 *         0 *
*       35 *        35 * 9.8463160 *         0 *
*       36 *        36 * 3.6401411 *         0 *
*       37 *        37 *         0 *         0 *
*       38 *        38 * 3.7401396 *         0 *
*       39 *        39 *         0 * 4.4612959 *
*       40 *        40 *         0 * 6.6576900 *
*       41 *        41 * 4.2317095 *         0 *
*       42 *        42 * 6.3159515 * 0.3741441 *
*       43 *        43 * 2.7908603 *         0 *
*       44 *        44 *         0 *         0 *
*       45 *        45 *         0 * 10.906280 *
*       46 *        46 * 5.5889829 *         0 *
*       47 *        47 *         0 * 6.3696328 *
*       48 *        48 * 4.0201355 *         0 *
*       49 *        49 * 2.9063413 * 3.9437519 *
*       50 *        50 * 2.1905890 * 0.7825268 *
*       51 *        51 * 6.5600976 *         0 *
*       52 *        52 *         0 * 6.3541042 *
*       53 *        53 * 3.3501455 *         0 *
*       54 *        54 * 6.4600991 *         0 *
*       55 *        55 * 2.1282359 * 4.8618553 *
*       56 *        56 * 9.3000566 *         0 *
*       57 *        57 *         0 * 0.0989292 *
*       58 *        58 * 3.7702430 *         0 *
*       59 *        59 * 10.580563 *         0 *
*       60 *        60 * 0.3791703 * 2.1084461 *
*       61 *        61 * 7.7254315 *         0 *
*       62 *        62 * 5.5758621 * 1.7130153 *
*       63 *        63 * 7.2687705 *         0 *
*       64 *        64 *         0 * 4.4197536 *
*       65 *        65 * 8.4701200 *         0 *
*       66 *        66 * 7.1900878 *         0 *
*       67 *        67 * 6.0301054 *         0 *
*       68 *        68 * 5.3908193 * 0.7605518 *
*       69 *        69 * 8.8900625 *         0 *
*       70 *        70 *         0 * 5.5901118 *
*       71 *        71 * 11.627085 *         0 *
*       72 *        72 *         0 *         0 *
*       73 *        73 * 3.8718140 *         0 *
*       74 *        74 * 4.9601215 *         0 *
*       75 *        75 * 3.3573969 * 3.8726904 *
*       76 *        76 * 3.6473623 *         0 *
*       77 *        77 * 8.5612030 *         0 *
*       78 *        78 *         0 * 4.2601318 *
*       79 *        79 * 3.3669986 *         0 *
*       80 *        80 * 2.1534151 * 6.4426780 *
*       81 *        81 *         0 * 1.7801688 *
*       82 *        82 * 4.0090467 *         0 *
*       83 *        83 *         0 *         0 *
*       84 *        84 * 10.930032 *         0 *
*       85 *        85 * 5.2801167 *         0 *
*       86 *        86 * 8.2400722 *         0 *
*       87 *        87 *         0 * 11.017540 *
*       88 *        88 * 6.4216034 *         0 *
*       89 *        89 * 1.3136799 * 5.0864201 *
*       90 *        90 * 0.8601824 *         0 *
*       91 *        91 * 0.3205084 * 6.0495170 *
*       92 *        92 *         0 * 5.8432155 *
*       93 *        93 *         0 *         0 *
*       94 *        94 * 12.800004 *         0 *
*       95 *        95 *         0 *         0 *
*       96 *        96 * 10.690036 *         0 *
*       97 *        97 * 2.8201533 *         0 *
*       98 *        98 * 2.6901552 *         0 *
*       99 *        99 * 1.7501691 *         0 *
*      100 *       100 * 1.3590522 * 5.0969618 *
*      101 *       101 * 7.4600839 *         0 *
*      102 *       102 * 3.1056191 *         0 *
*      103 *       103 * 6.8600932 *         0 *
*      104 *       104 * 7.7600795 *         0 *
*      105 *       105 * 7.7955722 *         0 *
*      106 *       106 *         0 * 3.8440584 *
*      107 *       107 *         0 * 4.4499640 *
*      108 *       108 *         0 *         0 *
*      109 *       109 * 5.2272003 * 5.9928279 *
*      110 *       110 *         0 *         0 *
*      111 *       111 * 8.2591628 *         0 *
*      112 *       112 * 2.4940512 * 1.1655863 *
*      113 *       113 *         0 * 6.8042843 *
*      114 *       114 * 3.1101811 *         0 *
*      115 *       115 * 4.6401259 *         0 *
*      116 *       116 *         0 * 9.6200517 *
*      117 *       117 * 10.630037 *         0 *
*      118 *       118 *         0 *         0 *
*      119 *       119 *         0 * 5.6601108 *
*      120 *       120 *         0 * 9.7801300 *
*      121 *       121 * 2.6932130 *         0 *
*      122 *       122 * 9.5100537 *         0 *
*      123 *       123 *         0 *         0 *
*      124 *       124 * 1.6431849 * 3.0869400 *
*      125 *       125 * 1.9101668 *         0 *
*      126 *       126 * 4.9073997 *         0 *
*      127 *       127 *         0 *         0 *
*      128 *       128 * 2.1950643 *         0 *
*      129 *       129 *         0 *         0 *
*      130 *       130 *         0 * 7.4800839 *
*      131 *       131 * 9.3400556 *         0 *
*      132 *       132 * 2.9261515 *         0 *
*      133 *       133 * 7.7000805 *         0 *
*      134 *       134 * 8.6322279 *         0 *
*      135 *       135 * 7.7100805 *         0 *
*      136 *       136 *         0 *         0 *
*      137 *       137 *  6.130104 *         0 *
*      138 *       138 *         0 * 5.9801059 *
*      139 *       139 *         0 *         0 *
*      140 *       140 *         0 * 4.4737545 *
*      141 *       141 * 1.6601705 *         0 *
*      142 *       142 *         0 * 5.5822338 *
*      143 *       143 * 9.9250418 *         0 *
*      144 *       144 *         0 * 4.6601259 *
*      145 *       145 * 2.5101579 *         0 *
*      146 *       146 * 3.6801403 *         0 *
*      147 *       147 * 6.3063068 *         0 *
*      148 *       148 * 4.5233562 *         0 *
*      149 *       149 * 0.3964780 *         0 *
*      150 *       150 *         0 * 7.8800776 *
*      151 *       151 * 4.3301308 *         0 *
*      152 *       152 *         0 *         0 *
*      153 *       153 *         0 * 4.6201264 *
*      154 *       154 * 7.7700795 *         0 *
*      155 *       155 * 1.2716200 * 2.7385154 *
*      156 *       156 * 5.9901059 *         0 *
*      157 *       157 *         0 * 8.8600634 *
*      158 *       158 *         0 * 5.8001088 *
*      159 *       159 * 8.1000747 *         0 *
*      160 *       160 * 8.3000712 *         0 *
*      161 *       161 * 7.8526218 *         0 *
*      162 *       162 * 5.7701093 *         0 *
*      163 *       163 * 8.0726943 *         0 *
*      164 *       164 * 4.3101308 *         0 *
*      165 *       165 *         0 * 11.083219 *
*      166 *       166 * 0.5475971 *         0 *
*      167 *       167 * 5.2801167 *         0 *
*      168 *       168 * 2.0201652 *         0 *
*      169 *       169 * 9.8042740 *         0 *
*      170 *       170 *         0 *         0 *
*      171 *       171 * 8.5900673 *         0 *
*      172 *       172 * 2.9501513 *         0 *
*      173 *       173 *         0 *         0 *
*      174 *       174 *         0 * 6.1816067 *
*      175 *       175 *         0 *         0 *
*      176 *       176 * 0.1622380 * 5.5078727 *
*      177 *       177 *         0 *         0 *
*      178 *       178 * 7.7100805 *         0 *
*      179 *       179 * 7.0102649 *         0 *
*      180 *       180 *  3.310146 *         0 *
*      181 *       181 *         0 *         0 *
*      182 *       182 * 8.9800615 *         0 *
*      183 *       183 * 10.051053 *         0 *
*      184 *       184 * 3.2701464 *         0 *
*      185 *       185 * 0.1515522 *         0 *
*      186 *       186 * 4.4801284 *         0 *
*      187 *       187 * 4.3233976 *         0 *
*      188 *       188 *         0 *         0 *
*      189 *       189 *         0 *         0 *
*      190 *       190 * 4.7064942 *         0 *
*      191 *       191 * 2.8506638 * 3.8594313 *
*      192 *       192 * 6.9922094 *         0 *
*      193 *       193 * 1.8101683 *         0 *
*      194 *       194 * 3.0401499 *         0 *
*      195 *       195 *         0 * 3.8601377 *
*      196 *       196 *         0 *         0 *
*      197 *       197 * 7.1950043 * 0.9450694 *
*      198 *       198 * 3.2416308 *         0 *
*      199 *       199 * 4.2534373 *         0 *
*      200 *       200 * 3.8960340 * 4.2740396 *
*      201 *       201 *         0 * 10.764039 *
*      202 *       202 * 4.2348449 *         0 *
*      203 *       203 * 1.0401906 * 3.8499319 *
*      204 *       204 * 4.4501289 *         0 *
*      205 *       205 * 7.6600810 *         0 *
*      206 *       206 * 4.5784734 *         0 *
*      207 *       207 * 2.4401589 *         0 *
*      208 *       208 * 6.9446622 *         0 *
*      209 *       209 *         0 *         0 *
*      210 *       210 *         0 *         0 *
*      211 *       211 *         0 *         0 *
*      212 *       212 * 6.5229922 * 1.7570069 *
*      213 *       213 *         0 * 9.2100576 *
*      214 *       214 *         0 *         0 *
*      215 *       215 * 10.156347 *         0 *
*      216 *       216 *         0 * 8.9700615 *
*      217 *       217 * 11.020707 *         0 *
*      218 *       218 * 7.3411153 *         0 *
*      219 *       219 * 2.3101608 *         0 *
*      220 *       220 * 5.5801123 *         0 *
*      221 *       221 * 2.5101579 *         0 *
*      222 *       222 * 8.9329380 *         0 *
*      223 *       223 * 2.9801508 *         0 *
*      224 *       224 *         0 * 5.7301098 *
*      225 *       225 *         0 *         0 *
*      226 *       226 * 6.2801015 *         0 *
*      227 *       227 * 10.656838 *         0 *
*      228 *       228 *         0 *         0 *
*      229 *       229 * 1.2946482 *         0 *
*      230 *       230 * 7.6235515 *         0 *
*      231 *       231 * 7.0553634 *         0 *
*      232 *       232 *         0 * 8.3900703 *
*      233 *       233 * 3.9301367 *         0 *
*      234 *       234 * 3.9537743 * 3.4663101 *
*      235 *       235 *         0 *         0 *
*      236 *       236 * 7.2080288 * 1.0020443 *
*      237 *       237 * 5.1201191 *         0 *
*      238 *       238 * 7.2800869 *         0 *
*      239 *       239 *         0 *         0 *
*      240 *       240 *  5.954893 * 1.6151895 *
*      241 *       241 * 6.9800913 *         0 *
*      242 *       242 *         0 * 7.3300859 *
*      243 *       243 * 1.5000234 *  7.170043 *
*      244 *       244 * 3.3401455 *         0 *
*      245 *       245 *         0 *         0 *
*      246 *       246 *         0 *         0 *
*      247 *       247 *         0 *         0 *
*      248 *       248 * 11.590022 *         0 *
*      249 *       249 * 8.2692409 *         0 *
*      250 *       250 * 5.4101147 *         0 *
*      251 *       251 * 7.7881572 *         0 *
*      252 *       252 * 9.1964532 *         0 *
*      253 *       253 * 5.6301113 *         0 *
*      254 *       254 * 1.9401663 *         0 *
*      255 *       255 *         0 *         0 *
*      256 *       256 * 4.4322301 *         0 *
*      257 *       257 * 5.2912078 *         0 *
*      258 *       258 * 2.5601572 *         0 *
*      259 *       259 *         0 * 6.8033335 *
*      260 *       260 * 9.8500488 *         0 *
*      261 *       261 *         0 *         0 *
*      262 *       262 *         0 *         0 *
*      263 *       263 *         0 * 6.4700986 *
*      264 *       264 *  6.130104 *         0 *
*      265 *       265 * 5.2248771 *         0 *
*      266 *       266 * 3.5101430 *         0 *
*      267 *       267 * 4.8220615 *  1.943499 *
*      268 *       268 * 10.906997 *         0 *
*      269 *       269 *         0 *         0 *
*      270 *       270 * 5.8765109 *         0 *
*      271 *       271 *         0 * 7.7200800 *
*      272 *       272 * 8.5000683 *         0 *
*      273 *       273 * 1.0001804 *         0 *
*      274 *       274 *         0 *         0 *
*      275 *       275 *         0 *         0 *
*      276 *       276 *         0 * 6.4377598 *
*      277 *       277 * 2.9101518 *         0 *
*      278 *       278 * 4.6001269 *         0 *
*      279 *       279 * 1.2405423 *         0 *
*      280 *       280 * 4.2576296 * 3.3429365 *
*      281 *       281 * 4.2601318 *         0 *
*      282 *       282 * 4.6608728 * 0.5092453 *
*      283 *       283 * 9.5858882 *         0 *
*      284 *       284 * 9.1900585 *         0 *
*      285 *       285 * 2.0401649 *         0 *
*      286 *       286 * 8.1611393 *         0 *
*      287 *       287 * 7.4300844 *         0 *
*      288 *       288 * 10.898637 *         0 *
*      289 *       289 *         0 *         0 *
*      290 *       290 * 4.0760889 * 4.0439853 *
*      291 *       291 *         0 *         0 *
*      292 *       292 * 1.9652367 * 0.3680987 *
*      293 *       293 * 2.9551022 *         0 *
*      294 *       294 * 5.6334147 * 3.1466497 *
*      295 *       295 * 5.4801137 *         0 *
*      296 *       296 * 9.8345266 *         0 *
*      297 *       297 * 7.0700898 *         0 *
*      298 *       298 *         0 * 7.5600825 *
*      299 *       299 * 2.1269878 *         0 *
*      300 *       300 * 6.7000952 *         0 *
*      301 *       301 *         0 * 4.7773200 *
*      302 *       302 *         0 *         0 *
*      303 *       303 * 2.7748629 *         0 *
*      304 *       304 * 6.9500918 *         0 *
*      305 *       305 * 6.4900986 *         0 *
*      306 *       306 *         0 *         0 *
*      307 *       307 * 2.7063414 * 3.9337547 *
*      308 *       308 * 3.0501499 *         0 *
*      309 *       309 * 3.9809634 * 0.5091649 *
*      310 *       310 * 7.8636636 *         0 *
*      311 *       311 *         0 *         0 *
*      312 *       312 *         0 * 9.4449810 *
*      313 *       313 * 4.9748211 *         0 *
*      314 *       314 * 6.4620640 *         0 *
*      315 *       315 *         0 * 9.8300488 *
*      316 *       316 * 3.2259959 * 2.1966860 *
