************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
************************************************
*        0 *         0 *         0 *         0 *
*        1 *         1 *         0 * 3.9764627 *
*        2 *         2 * 4.9797082 *         0 *
*        3 *         3 *         0 * 6.1701035 *
*        4 *         4 * 5.4613849 *         0 *
*        5 *         5 * 6.6900957 *         0 *
*        6 *         6 *         0 * 0.7476473 *
*        7 *         7 * 5.4601137 *         0 *
*        8 *         8 * 6.3101010 *         0 *
*        9 *         9 * 9.3884975 *         0 *
*       10 *        10 * 0.7791555 *         0 *
*       11 *        11 * 6.7400947 *         0 *
*       12 *        12 * 3.8901374 *         0 *
*       13 *        13 * 9.9185955 * 0.3863403 *
*       14 *        14 * 7.7300800 *         0 *
*       15 *        15 * 0.7236679 * 4.2985092 *
*       16 *        16 * 7.2000878 *         0 *
*       17 *        17 * 2.7801538 *         0 *
*       18 *        18 * 2.8975870 * 3.8071453 *
*       19 *        19 * 5.7193451 *         0 *
*       20 *        20 *         0 * 6.4800986 *
*       21 *        21 * 7.9700766 *         0 *
*       22 *        22 * 6.4426283 * 3.9171903 *
*       23 *        23 *         0 * 9.5500527 *
*       24 *        24 * 4.0101355 *         0 *
*       25 *        25 *         0 * 8.4800693 *
*       26 *        26 * 7.1000893 *         0 *
*       27 *        27 * 6.3457422 *         0 *
*       28 *        28 * 8.4048999 *         0 *
*       29 *        29 *         0 *         0 *
*       30 *        30 * 3.3550995 *         0 *
*       31 *        31 *         0 *         0 *
*       32 *        32 *         0 *         0 *
*       33 *        33 * 1.6901701 *         0 *
*       34 *        34 * 5.7701093 *         0 *
*       35 *        35 * 4.5225648 *         0 *
*       36 *        36 * 1.7401694 *         0 *
*       37 *        37 *         0 * 5.8864095 *
*       38 *        38 * 5.6291149 *         0 *
*       39 *        39 * 1.4706942 * 6.2393863 *
*       40 *        40 *         0 * 11.868094 *
*       41 *        41 * 6.1901030 *         0 *
*       42 *        42 * 9.2470004 *         0 *
*       43 *        43 * 4.6501259 *         0 *
*       44 *        44 *         0 * 5.2401171 *
*       45 *        45 *         0 * 6.8964862 *
*       46 *        46 * 4.1734837 *         0 *
*       47 *        47 *         0 * 7.4700839 *
*       48 *        48 * 5.1401186 *         0 *
*       49 *        49 *         0 * 3.8590397 *
*       50 *        50 * 1.1606868 *         0 *
*       51 *        51 * 6.1501035 *         0 *
*       52 *        52 *         0 * 5.8701079 *
*       53 *        53 * 6.3601005 *         0 *
*       54 *        54 * 6.1601035 *         0 *
*       55 *        55 *         0 * 11.060030 *
*       56 *        56 * 3.2501469 *         0 *
*       57 *        57 *         0 * 2.9793599 *
*       58 *        58 * 8.2900712 *         0 *
*       59 *        59 * 7.4400844 *         0 *
