************************************************
*    Row   * eventId.e * SmallDete * BigDetect *
************************************************
*        0 *         0 *         0 *         0 *
*        1 *         1 * 3.9357946 * 5.0580251 *
*        2 *         2 * 5.8701079 *         0 *
*        3 *         3 *         0 * 6.7875387 *
*        4 *         4 * 8.3440261 * 0.3074741 *
*        5 *         5 *  2.622373 *         0 *
*        6 *         6 *         0 * 6.5660782 *
*        7 *         7 * 5.6780987 * 0.3557023 *
*        8 *         8 * 2.7201547 *         0 *
*        9 *         9 * 8.6710518 *         0 *
*       10 *        10 * 1.0946079 *         0 *
*       11 *        11 * 9.3847125 *         0 *
*       12 *        12 * 6.6925715 * 1.2080962 *
*       13 *        13 * 9.4023855 * 0.5776613 *
*       14 *        14 * 6.8200937 *         0 *
*       15 *        15 *         0 * 8.2400722 *
*       16 *        16 * 3.6601408 *         0 *
*       17 *        17 * 4.3401308 *         0 *
*       18 *        18 * 0.1073935 * 3.7027448 *
*       19 *        19 * 4.6875072 *         0 *
*       20 *        20 *         0 *         0 *
*       21 *        21 * 4.7801240 *         0 *
*       22 *        22 * 1.9735013 * 3.0097102 *
*       23 *        23 *         0 * 10.580037 *
*       24 *        24 * 8.1318316 *         0 *
*       25 *        25 *         0 *         0 *
*       26 *        26 * 1.8601676 *         0 *
*       27 *        27 * 8.5857532 * 0.3543092 *
*       28 *        28 * 6.6300966 *         0 *
*       29 *        29 *         0 * 2.6235320 *
*       30 *        30 * 6.6200966 *         0 *
*       31 *        31 * 3.4777799 * 6.9068425 *
*       32 *        32 *         0 * 4.7001254 *
*       33 *        33 * 3.6601408 *         0 *
*       34 *        34 * 6.7189689 *         0 *
*       35 *        35 * 1.1101788 *         0 *
*       36 *        36 * 0.8275435 * 4.6987933 *
*       37 *        37 *         0 * 9.2765120 *
*       38 *        38 * 5.6901103 *         0 *
*       39 *        39 *         0 *         0 *
*       40 *        40 *         0 * 6.5300981 *
*       41 *        41 * 9.5679648 *         0 *
*       42 *        42 * 7.0899288 *         0 *
*       43 *        43 * 9.0700605 *         0 *
*       44 *        44 *         0 * 8.8004531 *
*       45 *        45 * 0.3742898 * 1.3258801 *
*       46 *        46 *  3.310146 *         0 *
*       47 *        47 *         0 * 8.7200654 *
*       48 *        48 * 3.5201428 *         0 *
*       49 *        49 *         0 *         0 *
*       50 *        50 * 0.0968021 *         0 *
*       51 *        51 * 7.2000878 *         0 *
*       52 *        52 *         0 * 7.7500795 *
*       53 *        53 *  4.710125 *         0 *
*       54 *        54 * 9.0400605 *         0 *
*       55 *        55 *         0 * 5.8201084 *
*       56 *        56 * 4.8901225 *         0 *
*       57 *        57 *         0 *         0 *
*       58 *        58 * 8.2692991 *         0 *
